round,sentence,opt0,opt1,opt2,opt3,correct
4,She promised ___ late again.,not being,to not be,not to be,won't be,2
5,I haven't seen him ___ last summer.,for,since,during,while,1
5,"If I were you, I ___ that job.",will take,took,would take,am taking,2
5,She is the person ___ works in the lab.,which,whose,whom,who,3
5,We are looking forward to ___ our family.,visit,visiting,visited,will visit,1
5,There are ___ people in the shop today.,much,any,too many,a lot,2
5,He ___ to work every single morning.,drives,drive,is driving,has driven,0
5,The dinner ___ by my mother right now.,cooks,is cooking,is being cooked,was cooked,2
5,I can't find my phone ___.,nowhere,somewhere,anywhere,anywhere,3
5,This exercise is ___ than the previous one.,easy,easier,easiest,more easy,1
5,"You ___ pay for the water, it's free.",mustn't,don't have to,couldn't,haven't,1
6,"By the time we got there, the film ___.",starts,has started,starting,had started,3
6,I think it ___ rain this afternoon.,might,does,is,has,0
6,She made me ___ my room.,to clean,cleaning,clean,cleaned,2
6,This is the cake ___ I baked yesterday.,who,which,whose,where,1
6,I have ___ time to finish the project.,enough,too,such,very,0
6,They ___ football when it started to snow.,play,were playing,played,have played,1
6,How ___ does this laptop cost?,many,long,much,far,2
6,I don't mind ___ for a few minutes.,to wait,waiting,wait,waited,1
6,He is very good ___ playing the guitar.,in,on,for,at,3
6,Would you like ___ orange juice?,some,any,a,an,0
7,I'm very tired. I ___ for five hours.,worked,am working,have been working,work,2
7,The man ___ lives next door is a doctor.,which,who,whose,whom,1
7,This is the ___ book I've ever read.,more interesting,interestingest,most interesting,interesting,2
7,You shouldn't eat ___ much sugar.,many,too,enough,such,1
7,We ___ to the cinema last Saturday.,go,have gone,went,were going,2
7,"If she ___ harder, she would pass.",studies,studied,will study,has studied,1
7,I am interested ___ buying a new car.,at,for,on,in,3
7,The keys ___ on the table yesterday.,is,were,was,been,1
7,"He ___ speaks English, but he's learning.",hardly,hard,harder,soon,0
7,___ you like a cup of tea?,Do,Will,Would,Can,2
8,I'll call you when I ___ home.,get,will get,getting,got,0
8,She has ___ finished her homework.,yet,already,ever,never,1
8,I don't know ___ to solve this problem.,what,how,why,which,1
8,They ___ married for twenty years.,are,have been,were,will be,1
8,This car is ___ expensive than mine.,much,more,most,very,1
8,He didn't tell me ___ he was going.,where,what,which,who,0
8,I'm looking for my glasses. Have you seen ___?,it,them,they,their,1
8,There is ___ water in the bottle.,some,any,many,few,0
8,You ___ take photos in this museum.,mustn't,don't have to,haven't,shouldn't to,0
8,The house ___ cleaned every day.,is,are,was,been,0
9,I suggested ___ to the park.,to go,go,going,went,2
9,He is the boy ___ mother is a teacher.,who,whose,whom,which,1
9,I ___ finished my work yet.,haven't,didn't,wasn't,don't,0
9,It was ___ a cold day that we stayed in.,so,such,very,too,1
9,We were late because our car ___ down.,broke,breaks,was broken,has broken,0
9,Can you tell me what time ___?,is it,does it,it is,has it,2
9,She is very good ___ languages.,in,at,for,with,1
9,I would go if I ___ enough money.,have,had,will have,would have,1
9,They ___ to the party tonight.,come,are coming,came,have come,1
9,This is the ___ street in the town.,long,longer,longest,most long,2
10,I've been living here ___ 2010.,for,since,during,from,1
10,The letter ___ yesterday by Tom.,was written,wrote,has written,is writing,0
10,You don't need to hurry. There is ___ time.,many,few,plenty of,any,2
10,"I ___ see him tomorrow, but I'm not sure.",might,must,have to,am,0
10,Does she ___ working at the hospital?,like,likes,liking,liked,0
10,We ___ have a dog when I was a child.,used to,use to,are used to,was used to,0
10,He asked me ___ I had seen his keys.,if,that,what,which,0
10,I ___ my breakfast when the phone rang.,eat,have eaten,was eating,am eating,2
10,This soup is too hot ___ eat.,for,to,so,that,1
10,I look forward to ___ from you.,hear,hearing,heard,will hear,1
