round,word,trans,opt0,opt1,opt2,opt3,correct
15,Inevitable,Иневитэбл,Неизбежный,Случайный,Приятный,Скрытый,0
15,Accurate,Экьюрэт,Сложный,Старый,Точный,Длинный,2
15,Believe,Билив,Знать,Верить,Думать,Видеть,1
15,Perspective,Перспектив,Ошибка,Сон,Точка зрения,Прошлое,2
15,Dangerous,Дэнджэрэс,Безопасный,Тихий,Опасный,Быстрый,2
15,Elaborate,Илабрэйт,Простой,Малый,Детальный,Грубый,2
15,Journey,Джёрни,Работа,Сон,Путешествие,Еда,2
15,Substantial,Сабстэншл,Тонкий,Существенный,Маленький,Гордый,1
15,Healthy,Хэлси,Здоровый,Больной,Грязный,Старый,0
15,Resilience,Резилиенс,Трусость,Стойкость,Скорость,Легкость,1
15,Mountain,Маунтэн,Река,Море,Гора,Поле,2
15,Negotiate,Нигоушиэйт,Бежать,Вести переговоры,Кричать,Спать,1
15,Beautiful,Бьютифул,Красивый,Ужасный,Старый,Большой,0
15,Paradox,Пэрэдокс,Парадокс,Истина,Ложь,Ответ,0
15,Together,Тугезэр,Отдельно,Скоро,Вместе,Вчера,2
